legislature,session,member_id
38,1,merlini-richard-5917
38,1,domingue-jean-5871
38,1,cholette-roch-2563
38,1,lelievre-guy-4145
38,1,morasse-johanne-5897
38,1,couillard-philippe-5811
38,1,de-martin-albert-5863
38,1,desrochers-francois-5861
38,1,lemieux-diane-4157
38,1,diamond-simon-pierre-5867
38,1,dorion-eric-5869
38,1,auger-pierre-michel-5847
38,1,methe-lucille-5891
38,1,beaupre-pascal-5853
38,1,lapointe-linda-5883
38,1,fournier-jean-marc-3233
38,1,benjamin-francois-5849
38,1,benoit-(decary)-hubert-5851
38,1,laporte-eric-5881
